#label	score1
C00012	null
C00017	null
C00018	null
C00019	null
C00021	null
C00022	null
C00024	null
C00025	2.17205187094136
C00026	1.05521696047186
C00029	null
C00031	null
C00032	null
C00033	null
C00036	null
C00037	null
C00039	null
C00041	null
C00042	null
C00043	null
C00046	null
C00047	null
C00048	null
C00049	2.11110635631959
C00051	null
C00052	null
C00053	null
C00058	null
C00059	null
C00061	null
C00062	3.98113210738668
C00064	-1.38033632932348
C00065	null
C00066	null
C00068	null
C00071	null
C00073	null
C00074	null
C00077	1.89554902274234
C00078	null
C00079	null
C00082	null
C00083	null
C00084	null
C00085	null
C00087	null
C00089	null
C00090	null
C00091	null
C00092	null
C00093	null
C00095	null
C00096	null
C00097	null
C00099	null
C00100	null
C00101	null
C00103	null
C00106	null
C00108	null
C00109	null
C00110	null
C00111	null
C00114	null
C00116	null
C00117	null
C00118	null
C00119	null
C00120	null
C00122	null
C00123	null
C00124	null
C00128	null
C00129	null
C00134	null
C00135	null
C00136	null
C00137	null
C00140	null
C00141	null
C00143	null
C00146	null
C00147	null
C00148	null
C00152	null
C00153	null
C00154	null
C00157	0.231670994846641
C00158	null
C00159	null
C00160	null
C00162	null
C00165	null
C00166	null
C00167	null
C00168	null
C00169	-1.38033632932348
C00170	null
C00173	null
C00180	null
C00181	null
C00183	null
C00187	null
C00188	null
C00189	null
C00191	null
C00194	null
C00195	null
C00197	null
C00199	null
C00212	null
C00217	null
C00218	null
C00219	-0.150994341271835
C00229	null
C00231	null
C00233	null
C00234	null
C00235	null
C00236	null
C00242	null
C00245	null
C00247	null
C00248	null
C00249	null
C00250	null
C00253	null
C00255	null
C00256	null
C00258	null
C00259	null
C00262	null
C00264	null
C00268	null
C00269	null
C00270	null
C00272	null
C00275	null
C00279	null
C00280	null
C00288	null
C00292	null
C00295	null
C00300	null
C00301	null
C00307	null
C00311	1.05325774679468
C00312	null
C00314	null
C00315	null
C00318	null
C00319	null
C00322	null
C00325	null
C00327	-1.38033632932348
C00328	null
C00329	null
C00332	null
C00334	null
C00337	null
C00339	null
C00345	null
C00346	null
C00349	null
C00350	null
C00352	null
C00356	null
C00357	null
C00366	null
C00370	null
C00376	null
C00385	null
C00388	null
C00398	null
C00399	null
C00401	null
C00407	null
C00410	null
C00412	null
C00415	null
C00416	null
C00417	1.39902701918814
C00418	null
C00419	null
C00422	null
C00427	-0.0885709289524517
C00429	null
C00430	null
C00445	null
C00447	null
C00448	null
C00455	null
C00468	null
C00473	null
C00483	null
C00486	null
C00487	null
C00490	4.66443277083667
C00492	null
C00506	null
C00510	null
C00512	null
C00517	null
C00519	null
C00523	null
C00524	null
C00527	null
C00530	null
C00534	null
C00535	null
C00543	null
C00546	null
C00547	null
C00550	null
C00576	null
C00577	null
C00583	null
C00584	null
C00585	null
C00591	null
C00599	null
C00601	null
C00606	null
C00611	null
C00612	null
C00613	null
C00618	null
C00621	null
C00625	null
C00630	null
C00632	null
C00637	null
C00640	null
C00641	null
C00642	null
C00645	null
C00669	null
C00670	1.3889516570687
C00671	null
C00673	null
C00681	null
C00683	null
C00686	null
C00694	null
C00695	null
C00717	null
C00738	null
C00740	null
C00750	null
C00751	null
C00756	null
C00762	null
C00777	null
C00780	null
C00787	null
C00788	null
C00794	null
C00804	null
C00818	null
C00828	null
C00829	null
C00831	null
C00835	null
C00836	null
C00842	null
C00856	null
C00857	null
C00864	null
C00868	null
C00870	null
C00877	null
C00882	null
C00886	null
C00894	null
C00899	null
C00906	null
C00909	null
C00911	null
C00931	null
C00951	null
C00956	null
C00957	null
C00958	null
C01003	null
C01005	null
C01013	null
C01015	null
C01019	null
C01024	null
C01031	null
C01033	null
C01036	null
C01051	null
C01054	null
C01078	null
C01079	null
C01086	null
C01097	null
C01107	null
C01117	null
C01132	null
C01134	null
C01141	null
C01149	null
C01152	null
C01161	null
C01164	null
C01165	null
C01171	null
C01177	null
C01179	null
C01180	null
C01185	null
C01188	null
C01189	null
C01190	null
C01194	null
C01204	null
C01209	null
C01211	null
C01213	null
C01217	null
C01220	null
C01222	null
C01227	null
C01228	null
C01233	null
C01239	null
C01240	null
C01243	null
C01245	null
C01256	null
C01277	null
C01284	null
C01288	null
C01290	null
C01308	null
C01392	null
C01450	null
C01490	null
C01516	null
C01525	null
C01528	null
C01573	null
C01595	0.155822096585431
C01598	null
C01628	null
C01636	null
C01637	null
C01638	null
C01639	null
C01640	null
C01641	null
C01642	null
C01643	null
C01644	null
C01645	null
C01646	null
C01647	null
C01648	null
C01649	null
C01650	null
C01651	null
C01652	null
C01653	null
C01664	null
C01672	null
C01702	null
C01724	null
C01736	null
C01753	null
C01756	null
C01764	null
C01789	null
C01794	null
C01829	null
C01832	null
C01879	null
C01910	null
C01943	null
C01944	null
C01972	null
C01997	null
C02028	null
C02031	null
C02038	null
C02041	null
C02051	null
C02059	null
C02060	null
C02076	null
C02090	null
C02094	null
C02112	null
C02128	null
C02141	null
C02165	null
C02167	null
C02170	null
C02179	null
C02188	null
C02189	null
C02211	null
C02222	null
C02232	null
C02282	null
C02297	null
C02303	null
C02315	null
C02339	null
C02380	null
C02415	null
C02430	null
C02528	null
C02534	null
C02567	null
C02576	null
C02593	null
C02686	null
C02700	null
C02713	null
C02714	null
C02737	null
C02743	null
C02805	null
C02835	null
C02871	null
C02909	null
C02929	null
C02939	null
C02944	null
C02946	null
C02962	null
C03012	null
C03021	null
C03023	null
C03035	null
C03069	null
C03090	null
C03129	null
C03201	null
C03205	null
C03221	null
C03242	null
C03272	null
C03306	null
C03313	null
C03344	null
C03345	null
C03356	null
C03366	null
C03372	null
C03373	null
C03402	null
C03410	null
C03454	null
C03460	null
C03461	null
C03492	null
C03523	null
C03530	null
C03557	null
C03594	null
C03633	null
C03638	null
C03680	null
C03684	null
C03692	null
C03706	null
C03723	null
C03758	null
C03820	null
C03838	null
C03845	null
C03939	null
C03968	null
C04006	null
C04010	null
C04051	null
C04073	null
C04076	null
C04079	null
C04088	null
C04144	null
C04155	null
C04188	null
C04242	null
C04250	null
C04257	null
C04281	null
C04317	null
C04373	null
C04376	null
C04384	null
C04441	null
C04453	null
C04487	null
C04500	null
C04502	null
C04506	null
C04530	null
C04537	null
C04549	null
C04554	null
C04582	null
C04618	null
C04619	null
C04620	null
C04633	null
C04635	null
C04637	null
C04646	null
C04654	null
C04671	null
C04675	null
C04677	null
C04679	null
C04681	null
C04682	null
C04683	null
C04688	null
C04692	null
C04706	null
C04727	null
C04730	null
C04742	null
C04750	null
C04751	null
C04756	null
C04791	null
C04800	null
C04801	null
C04805	null
C04814	null
C04825	null
C04840	null
C04856	null
C04880	null
C04884	null
C04885	null
C04895	null
C04899	null
C04900	null
C04903	null
C04911	null
C04914	null
C04922	null
C04927	null
C04944	null
C05011	null
C05103	null
C05108	null
C05110	null
C05127	null
C05141	null
C05172	null
C05200	null
C05206	null
C05223	null
C05232	null
C05258	null
C05260	null
C05262	null
C05264	null
C05266	null
C05268	null
C05270	null
C05274	null
C05279	null
C05284	null
C05298	null
C05299	null
C05301	null
C05302	null
C05335	null
C05337	null
C05381	null
C05394	null
C05402	null
C05437	null
C05444	null
C05447	null
C05448	null
C05450	null
C05528	null
C05535	null
C05544	null
C05545	null
C05576	null
C05577	null
C05578	null
C05580	null
C05581	null
C05583	null
C05634	null
C05636	null
C05638	null
C05648	null
C05649	null
C05673	null
C05674	null
C05686	null
C05692	null
C05703	null
C05726	null
C05745	null
C05746	null
C05747	null
C05748	null
C05749	null
C05751	null
C05752	null
C05754	null
C05755	null
C05756	null
C05757	null
C05760	null
C05761	null
C05763	null
C05764	null
C05766	null
C05774	null
C05787	null
C05803	null
C05805	null
C05813	null
C05819	null
C05827	null
C05860	null
C05921	null
C05924	null
C05928	null
C05938	null
C05946	null
C05966	null
C05981	null
C06000	null
C06001	null
C06054	null
C06102	null
C06123	null
C06133	null
C06135	null
C06138	null
C06139	null
C06140	null
C06174	null
C06205	null
C06246	null
C06249	null
C06341	null
C06376	null
C06395	null
C06409	null
C06427	0.00621927727779313
C06428	null
C06429	null
C06481	null
C06482	null
C06485	null
C06505	null
C06604	null
C06606	null
C06611	null
C06612	null
C06613	null
C06615	null
C06751	null
C06754	null
C06790	null
C06800	null
C06868	null
C06899	null
C07047	null
C07054	null
C07073	null
C07090	null
C07281	null
C07447	null
C07480	null
C07481	null
C07490	null
C07535	null
C07572	null
C07645	null
C07648	null
C07649	null
C08276	null
C08821	null
C09819	null
C11038	null
C11088	null
C11173	null
C11174	null
C11278	null
C11439	null
C11522	null
C11523	null
C11526	null
C11547	null
C11945	null
C11946	null
C12144	null
C12214	null
C12834	null
C13051	null
C13747	null
C14040	null
C14089	null
C14144	null
C14556	null
C14781	null
C14786	null
C14787	null
C14800	null
C14802	null
C14813	null
C14818	null
C14839	null
C14840	null
C14850	null
C14851	null
C14852	null
C14857	null
C14858	null
C14859	null
C14863	null
C14870	null
C15518	null
C15520	null
C15573	null
C15575	null
C15577	null
C15587	null
C15606	null
C15613	null
C15777	null
C15780	null
C15782	null
C15785	null
C15796	null
C15808	null
C15811	null
C15972	null
C15974	null
C15976	null
C15978	null
C16014	null
C16168	null
C16172	null
C16173	null
C16216	null
C16217	null
C16220	null
C16236	null
C16237	null
C16327	null
C16328	null
C16329	null
C16330	null
C16331	null
C16332	null
C16333	null
C16334	null
C16335	null
C16336	null
C16337	null
C16338	null
C16353	null
C16358	null
C16375	null
C16388	null
C16396	null
C16453	null
C16466	null
C16468	null
C16469	null
C16546	null
C16586	null
C16587	null
C16595	null
C16608	null
C16609	null
C16614	null
C16618	null
C16619	null
C16630	null
C16633	null
C16675	null
C16756	null
C17335	null
C17345	null
C17554	null
C17560	null
C18026	null
C18242	null
C18304	null
C18309	null
C19078	null
C19080	null
C19488	null
C19489	null
C19490	null
C19574	null
C19586	null
C19604	null
C19673	null
C19803	null
C19858	null
C19967	null
C19968	null
C19969	null
C20119	null
C20375	null
C20458	null
C20649	null
C20659	null
C20675	null
C03011	null
C16739	null
C00627	null
C00647	null
C01137	null
C00155	null
C00149	null
C00186	null
C01127	null
C02119	null
C02514	null
C05125	null
C20485	null
C00222	null
C05259	null
C05261	null
C05263	null
C05265	null
C05267	null
C05269	null
C07118	null
C16376	null
C16389	null
C16471	null
C02987	null
C03287	null
C03541	null
C03912	null
C05929	null
C09332	null
C00433	null
C00940	null
C02630	null
C03196	null
C00198	null
C00208	null
C00243	null
C00369	null
C05403	null
C00500	null
C02191	null
C00227	null
C00437	null
C00548	null
C04598	null
C05727	null
C13636	null
C02362	null
C00581	0.259069505572928
C01419	null
C02412	null
C05729	null
C02999	null
C03227	null
C05688	null
C00203	null
C01170	null
C04501	null
C02073	null
C01931	null
C05341	null
C05552	null
C03303	null
C00438	-1.38033632932348
C02984	null
C03406	-1.38033632932348
C03794	null
C04540	null
C04823	null
C00127	null
C02166	null
C02320	null
C03451	null
C03899	null
C05526	null
C11583	null
C14791	null
C14792	null
C14793	null
C14803	null
C14804	null
C14805	null
C14806	null
C14847	null
C14848	null
C14855	null
C14856	null
C14861	null
C14864	null
C14865	null
C14868	null
C14871	null
C14874	null
C17267	null
C00446	null
C00054	null
C00224	null
C05653	null
C00086	null
C00179	null
C01201	null
C02163	null
C05340	null
C02553	null
C02934	null
C04377	null
C03880	null
C00378	null
C03028	null
C13378	null
C00226	null
C00375	null
C15999	null
C00631	null
C04322	null
C00331	null
C03512	null
C02505	null
C03511	null
C02839	null
C00469	null
C00354	null
C00665	null
C00094	null
C01502	null
C04221	null
C01236	null
C00513	null
C03892	null
C01094	null
C00636	null
C03125	null
C04352	null
C19691	null
C00386	null
C01262	null
C05665	null
C00163	null
C02557	null
C05449	null
C05467	null
C06002	null
C00440	null
C00504	null
C00394	null
C01231	null
C00299	null
C00526	null
C05984	null
C00381	null
C01246	null
C03862	null
C00184	null
C00588	null
C01885	null
C05401	null
C00121	null
C05382	null
C01893	null
C02047	null
C01235	null
C01613	null
C01697	null
C04737	null
C05399	null
C05400	null
C05404	null
C05796	null
C06037	null
C06126	null
C06136	null
C00341	null
C00353	null
C01143	null
C17432	null
C00785	null
C00884	null
C02988	null
C03546	null
C01674	null
C04755	null
C19802	null
C19804	null
C00850	null
C03254	null
C00559	null
C02702	null
C03150	null
C02990	null
C05272	null
C04230	0.123850143263501
C04233	null
C02478	null
C02492	null
C00988	null
C01958	null
C04438	null
C05973	null
C12126	null
C12145	null
C05675	null
C05676	null
C02763	null
C00190	null
C03033	null
C01146	null
C06206	null
C00379	null
C02266	null
C02554	null
C01802	null
C02530	null
C15519	null
C02992	null
C04476	null
C11376	null
C00853	null
C02960	null
C01159	null
C03232	null
C00819	null
C05588	null
C02249	null
C14749	null
C14768	null
C14769	null
C14770	null
C14771	null
C14778	null
C16239	null
C00310	null
C04432	null
C00330	null
C00387	null
C01959	null
C01507	null
C00579	null
C17202	null
C05841	null
C01007	null
C00532	null
C00294	null
C05512	null
C01656	null
C15522	null
C04015	null
C04017	null
C06128	null
C06241	null
C00674	null
C05296	null
C03231	null
C07565	null
C01103	null
C02305	null
C13050	null
C16011	null
C00986	null
C02838	null
C06124	null
C02985	null
C14830	null
C03626	null
C01075	null
C01144	null
C00555	null
C01035	null
C02434	null
C00570	null
C01120	null
C01241	null
C01762	null
C17562	null
C00634	null
C00635	null
C03127	null
C03681	null
C01530	null
C16218	null
C00921	null
C03463	null
C03475	null
C00639	null
C00696	null
C02198	null
C02642	null
C03479	null
C05859	null
C20120	null
C05300	null
C11133	null
C02075	null
C02588	null
C15492	null
C03765	null
C02571	null
C00531	null
C00712	null
C01678	null
C11135	null
C02248	null
C02411	null
C03917	null
C05291	null
C11134	null
C00937	null
C01888	null
C05999	null
C05589	null
C03640	null
C00719	null
C01167	null
C03721	null
C01064	null
C01200	null
C03238	null
C02455	null
C07086	null
C05527	null
C04847	null
C04886	null
C18170	null
C03022	null
C00800	null
C04213	null
C03000	null
C05640	null
C00954	null
C00658	null
C01801	null
C04855	null
C04890	null
C04891	null
C01370	null
C02965	null
C02532	null
C01545	null
C03588	null
C11061	null
C16677	null
C16679	null
C16680	null
C01096	null
C05985	null
C02670	null
C20265	null
C02953	null
C02097	null
C11907	null
C02967	null
C02764	null
C03360	null
C05116	null
C01635	null
C05668	null
C03455	null
C05100	null
C02520	null
C05503	null
C05823	null
C04517	null
C03875	null
C02475	null
C14180	null
C01061	null
C03263	null
C04398	null
C01122	null
C03785	null
C04212	null
C04925	null
C04141	null
C01181	null
C04043	null
C05582	null
C05107	null
C04062	null
C05350	null
C04047	null
C05111	null
C05439	null
C04563	null
C04579	null
C15990	null
C15991	null
C05744	null
C05750	null
C05753	null
C05759	null
C05762	null
C16219	null
C20372	null
C20376	null
C05139	null
C04494	null
C04375	null
C03418	null
C01272	null
C04063	null
C04477	null
C11555	null
C01293	null
C11554	null
C04520	null
C04248	null
C04845	null
C04726	null
C05234	null
C01612	null
C15558	null
C01735	null
C11785	null
C16578	null
C16643	null
C02318	null
C05684	null
C02872	null
C16720	null
C02050	null
C14825	null
C14826	null
C05643	null
C05850	null
C16711	null
C05336	null
C03636	null
C16565	null
C02687	null
C05109	null
C11455	null
C03446	null
C15781	null
C02465	null
C03740	null
C02171	null
C11508	null
C05276	null
C04833	null
C04131	null
C02100	null
C03881	null
C06425	null
C02972	null
C05849	null
C07343	null
C06222	null
C03170	null
C12286	null
C20695	null
C03974	null
C02374	null
C08830	null
C04853	null
C02863	null
C04431	null
C12838	null
C16476	null
C16477	null
C14145	null
C06112	null
C03687	null
C02582	null
C04802	null
C16613	null
C03702	null
C03294	null
C11924	null
C05273	null
C06125	null
C05936	null
C05974	null
C03800	null
C02986	null
C05130	null
C03957	null
C14099	null
C18096	null
C11572	null
C03895	null
C15653	null
C06426	null
C05998	null
C04475	null
C05212	null
C05977	null
C18040	null
C03595	null
C04311	null
C04405	null
C15980	null
C04309	null
C03715	null
C04640	null
C06113	null
C03691	null
C03531	null
C05455	null
C03798	null
C04312	null
C05565	null
C04244	null
C04789	null
C04232	null
C05587	null
C04196	null
C16221	null
C04489	null
C17325	null
C11736	null
C11475	null
C05947	null
C11136	null
C04649	null
C11553	null
C20663	null
C08825	null
C04759	null
C04818	null
C04748	null
C11556	null
C05445	null
C15650	null
C15646	null
C11557	null
C16615	null
C16617	null
C04741	null
C04707	null
C04734	null
C07282	null
C04735	null
C04736	null
C04887	null
C06329	null
C04763	null
C04901	null
C04902	null
C15647	null
C04907	null
C11377	null
C04913	null
C04827	null
C05356	null
C11509	null
C20482	null
C04943	null
C06134	null
C04926	null
C20239	null
C20483	null
C12632	null
C15656	null
C06141	null
C04937	null
C04936	null
C04938	null
C05159	null
C15543	null
C07108	null
C15816	null
C15915	null
C05504	null
C05313	null
C05320	null
C05758	null
C05329	null
C05275	null
C05271	null
C05280	null
C18075	null
C11132	null
C11131	null
C05691	null
C05698	null
C16254	null
C05460	null
C11537	null
C11482	null
C05546	null
C05594	null
C15566	null
C05584	null
C05635	null
C05637	null
C05639	null
C05651	null
C05650	null
C06459	null
C05696	null
C05697	null
C18902	null
C05768	null
C06508	null
C05791	null
C05804	null
C17568	null
C05814	null
C05828	null
C05861	null
C06250	null
C19848	null
C06055	null
C06103	null
C16577	null
C06247	null
C17336	null
C06377	null
C06410	null
C16162	null
C16165	null
C16169	null
C16636	null
C16638	null
C07326	null
C06506	null
C06607	null
C06608	null
C16348	null
C06614	null
C07330	null
C06755	null
C11148	null
C14866	null
C19585	null
C19595	null
C07496	null
C11150	null
C16550	null
C16555	null
C07585	null
C16560	null
C16561	null
C07091	null
C16622	null
C16360	null
C14869	null
C14849	null
C16607	null
C16612	null
C07646	null
C16551	null
C16634	null
C15783	null
C09820	null
C11039	null
C20690	null
C11440	null
C15776	null
C11548	null
C11947	null
C12215	null
C12835	null
C20742	null
C16356	null
C16365	null
C14090	null
C14854	null
C14782	null
C14801	null
C14814	null
C14819	null
C14844	null
C14842	null
C14853	null
C17331	null
C17332	null
C15574	null
C15576	null
C15578	null
C20463	null
C17343	null
C15778	null
C15786	null
C15797	null
C15812	null
C15973	null
C15975	null
C15977	null
C15979	null
C16015	null
C16374	null
C16387	null
C16240	null
C16832	null
C16339	null
C16355	null
C16359	null
C16420	null
C19563	null
C19566	null
C16470	null
C16547	null
C16591	null
C16596	null
C16620	null
C16631	null
C20446	null
C19594	null
C17337	null
C17346	null
C17559	null
C17561	null
C20238	null
C18243	null
C18305	null
C18310	null
C19085	null
C19559	null
C19577	null
C19580	null
C19605	null
C19606	null
C19588	null
C19607	null
C19859	null
C20176	null
C19970	null
C20459	null
C20661	null
C20660	null
C20676	null
